ref,cmd,family,rci,changes_settings,no_prefix,no_wipes_list,multiple_input,context,interface_type,args,required_args,source,entry
3.92,ipv6 static,ipv6,/rci/ipv6/static,yes,yes,no,no,,,protocol:Keyword;interface:Interface;mac:MAC address;port:Integer;end-port:Integer,protocol;interface;mac,04_commands_ip_ipv6_network(1).md:5791,entries/ipv6.md
3.93,ipv6 subnet,ipv6,/rci/ipv6/subnet,yes,yes,no,yes,(config-subnet),,name:String,name,04_commands_ip_ipv6_network(1).md:5853,entries/ipv6.md
3.93.1,ipv6 subnet bind,ipv6,/rci/ipv6/subnet/bind,yes,yes,no,no,,,bind:Interface,bind,04_commands_ip_ipv6_network(1).md:5889,entries/ipv6.md
3.93.2,ipv6 subnet dns-server,ipv6,/rci/ipv6/subnet/dns-server,yes,yes,no,no,,,address1:IPv6 address;address2:IPv6 address;disable:Keyword,address1,04_commands_ip_ipv6_network(1).md:5928,entries/ipv6.md
3.93.3,ipv6 subnet mode,ipv6,/rci/ipv6/subnet/mode,yes,yes,no,no,,,mode:Keyword,mode,04_commands_ip_ipv6_network(1).md:5978,entries/ipv6.md
3.93.4,ipv6 subnet number,ipv6,/rci/ipv6/subnet/number,yes,no,no,no,,,number:Integer,number,04_commands_ip_ipv6_network(1).md:6019,entries/ipv6.md
3.93.5,ipv6 subnet prefix delegate,ipv6,/rci/ipv6/subnet/prefix/delegate,yes,yes,no,no,,,delegate:Integer,delegate,04_commands_ip_ipv6_network(1).md:6049,entries/ipv6.md
3.93.6,ipv6 subnet prefix length,ipv6,/rci/ipv6/subnet/prefix/length,yes,yes,no,no,,,length:Integer,length,04_commands_ip_ipv6_network(1).md:6090,entries/ipv6.md
3.94,isolate-private,isolate-private,/rci/isolate-private,yes,yes,no,no,,,,,04_commands_ip_ipv6_network(1).md:6131,entries/isolate-private.md
3.95,kabinet,kabinet,/rci/kabinet,yes,yes,no,no,(kabinet),,,,04_commands_ip_ipv6_network(1).md:6166,
3.95.1,kabinet access-level,kabinet,/rci/kabinet/access-level,yes,yes,no,no,,,level:Keyword,level,04_commands_ip_ipv6_network(1).md:6202,
3.95.2,kabinet interface,kabinet,/rci/kabinet/interface,yes,yes,no,no,,,interface:Interface,interface,04_commands_ip_ipv6_network(1).md:6245,
3.95.3,kabinet password,kabinet,/rci/kabinet/password,yes,yes,no,no,,,password:String,password,04_commands_ip_ipv6_network(1).md:6299,
3.95.4,kabinet port,kabinet,/rci/kabinet/port,yes,yes,no,no,,,port:Integer,port,04_commands_ip_ipv6_network(1).md:6337,
3.95.5,kabinet protocol-version,kabinet,/rci/kabinet/protocol-version,yes,yes,no,no,,,version:String,version,04_commands_ip_ipv6_network(1).md:6376,
3.95.6,kabinet server,kabinet,/rci/kabinet/server,yes,yes,no,no,,,address:IP address,address,04_commands_ip_ipv6_network(1).md:6416,
3.96,known host,known,/rci/known/host,yes,yes,no,yes,,,name:String;mac:MAC address,name;mac,04_commands_ip_ipv6_network(1).md:6455,entries/known.md
3.1.5,ls,ls,/rci/ls,no,no,no,no,,,directory:String,,02_commands_core_access_storage_components_crypto(1).md:238,entries/ls.md
3.97,mdns,mdns,/rci/mdns,no,no,no,no,(config-mdns),,,,04_commands_ip_ipv6_network(1).md:6490,entries/mdns.md
3.97.1,mdns reflector disable,mdns,/rci/mdns/reflector/disable,yes,yes,no,no,,,,,04_commands_ip_ipv6_network(1).md:6515,entries/mdns.md
3.97.2,mdns reflector enforce,mdns,/rci/mdns/reflector/enforce,yes,yes,no,no,,,,,04_commands_ip_ipv6_network(1).md:6550,entries/mdns.md
3.1.6,mkdir,mkdir,/rci/mkdir,no,no,no,no,,,directory:String,directory,02_commands_core_access_storage_components_crypto(1).md:289,entries/mkdir.md
3.1.7,more,more,/rci/more,no,no,no,no,,,filename:Filename,filename,02_commands_core_access_storage_components_crypto(1).md:319,entries/more.md
3.98,mws acquire,mws,/rci/mws/acquire,no,yes,no,no,,,candidate:String;dpn-accept:Keyword;no-update:Keyword,candidate,05_commands_mws_ndns_opkg_services(1).md:5,entries/mws.md
3.99,mws auto-ap-shutdown,mws,/rci/mws/auto-ap-shutdown,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:56,entries/mws.md
3.100,mws backhaul shutdown,mws,/rci/mws/backhaul/shutdown,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:92,entries/mws.md
3.101,mws log stp,mws,/rci/mws/log/stp,no,yes,yes,yes,,,interface:Interface,interface,05_commands_mws_ndns_opkg_services(1).md:127,entries/mws.md
3.102,mws member,mws,/rci/mws/member,no,yes,yes,no,,,member:String,,05_commands_mws_ndns_opkg_services(1).md:174,entries/mws.md
3.103,mws member debug,mws,/rci/mws/member/debug,yes,yes,no,no,,,member:String,member,05_commands_mws_ndns_opkg_services(1).md:205,entries/mws.md
3.104,mws member dpn-accept,mws,/rci/mws/member/dpn-accept,no,no,no,no,,,member:String,member,05_commands_mws_ndns_opkg_services(1).md:246,entries/mws.md
3.105,mws member port access,mws,/rci/mws/member/port/access,yes,yes,no,no,,,member:String;port:Integer;interface:Interface,member;port;interface,05_commands_mws_ndns_opkg_services(1).md:276,entries/mws.md
3.106,mws member port disable,mws,/rci/mws/member/port/disable,yes,yes,no,no,,,member:String;port:Integer,member;port,05_commands_mws_ndns_opkg_services(1).md:327,entries/mws.md
3.107,mws member reboot,mws,/rci/mws/member/reboot,no,no,no,no,,,member:String;interval:Integer,member,05_commands_mws_ndns_opkg_services(1).md:369,entries/mws.md
3.108,mws member update channel,mws,/rci/mws/member/update/channel,yes,yes,no,no,,,member:String;channel:String,member;channel,05_commands_mws_ndns_opkg_services(1).md:407,entries/mws.md
3.109,mws member update check,mws,/rci/mws/member/update/check,no,no,no,no,,,member:String,member,05_commands_mws_ndns_opkg_services(1).md:454,entries/mws.md
3.110,mws member update start,mws,/rci/mws/member/update/start,no,no,no,no,,,member:String,member,05_commands_mws_ndns_opkg_services(1).md:483,entries/mws.md
3.111,mws member update stop,mws,/rci/mws/member/update/stop,no,no,no,no,,,member:String,member,05_commands_mws_ndns_opkg_services(1).md:512,entries/mws.md
3.112,mws reboot,mws,/rci/mws/reboot,no,no,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:540,entries/mws.md
