ref,cmd,family,rci,changes_settings,no_prefix,no_wipes_list,multiple_input,context,interface_type,args,required_args,source,entry
3.144,service dhcp-relay,service,/rci/service/dhcp-relay,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:4229,entries/service.md
3.145,service dlna,service,/rci/service/dlna,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:4262,entries/service.md
3.146,service dns-proxy,service,/rci/service/dns-proxy,yes,no,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:4294,entries/service.md
3.147,service ftp,service,/rci/service/ftp,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:4319,entries/service.md
3.148,service http,service,/rci/service/http,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:4350,entries/service.md
3.149,service igmp-proxy,service,/rci/service/igmp-proxy,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:4381,entries/service.md
3.150,service internet-checker,service,/rci/service/internet-checker,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:4414,entries/service.md
3.151,service ipsec,service,/rci/service/ipsec,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:4449,entries/service.md
3.152,service kabinet,service,/rci/service/kabinet,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:4479,entries/service.md
3.153,service mdns,service,/rci/service/mdns,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:4512,entries/service.md
3.154,service mws,service,/rci/service/mws,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:4543,entries/service.md
3.155,service ntce,service,/rci/service/ntce,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:4576,entries/service.md
3.156,service ntp,service,/rci/service/ntp,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:4607,entries/service.md
3.157,service oc-server,service,/rci/service/oc-server,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:4641,entries/service.md
3.158,service snmp,service,/rci/service/snmp,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:4674,entries/service.md
3.159,service ssh,service,/rci/service/ssh,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:4707,entries/service.md
3.160,service sstp-server,service,/rci/service/sstp-server,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:4741,entries/service.md
3.161,service telnet,service,/rci/service/telnet,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:4774,entries/service.md
3.162,service torrent,service,/rci/service/torrent,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:4805,entries/service.md
3.163,service udpxy,service,/rci/service/udpxy,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:4836,entries/service.md
3.164,service upnp,service,/rci/service/upnp,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:4866,entries/service.md
3.165,service vpn-server,service,/rci/service/vpn-server,yes,yes,no,no,,,,,05_commands_mws_ndns_opkg_services(1).md:4891,entries/service.md
3.166,show,show,/rci/show,no,no,no,no,(show),,,,06_commands_show(1).md:5,entries/show-other.md
3.166.1,show access,show,/rci/show/access,no,no,no,no,,,directory:String,directory,06_commands_show(1).md:27,entries/show-other.md
3.166.2,show acme,show,/rci/show/acme,no,no,no,no,,,,,06_commands_show(1).md:64,entries/show-other.md
3.166.3,show afp,show,/rci/show/afp,no,no,no,no,,,,,06_commands_show(1).md:104,entries/show-other.md
3.166.4,show associations,show,/rci/show/associations,no,no,no,no,,Access Point,name:String,,06_commands_show(1).md:142,entries/show-other.md
3.166.5,show button,show,/rci/show/button,no,no,no,no,,,name:String,,06_commands_show(1).md:224,entries/show-other.md
3.166.6,show button bindings,show,/rci/show/button/bindings,no,no,no,no,,,,,06_commands_show(1).md:264,entries/show-other.md
3.166.7,show button handlers,show,/rci/show/button/handlers,no,no,no,no,,,,,06_commands_show(1).md:366,entries/show-other.md
3.166.8,show chilli profiles,show,/rci/show/chilli/profiles,no,no,no,no,,,,,06_commands_show(1).md:485,entries/show-other.md
3.166.9,show cifs,show,/rci/show/cifs,no,no,no,no,,,,,06_commands_show(1).md:530,entries/show-other.md
3.166.10,show clock date,show,/rci/show/clock/date,no,no,no,no,,,,,06_commands_show(1).md:565,entries/show-other.md
3.166.11,show clock timezone-list,show,/rci/show/clock/timezone-list,no,no,no,no,,,,,06_commands_show(1).md:604,entries/show-other.md
3.166.12,show components status,show,/rci/show/components/status,no,no,no,no,,,,,06_commands_show(1).md:652,entries/show-other.md
3.166.13,show configurator status,show,/rci/show/configurator/status,no,no,no,no,,,,,06_commands_show(1).md:683,entries/show-other.md
3.166.14,show credits,show,/rci/show/credits,no,no,no,no,,,package:String,,06_commands_show(1).md:723,entries/show-other.md
3.166.15,show crypto ike key,show,/rci/show/crypto/ike/key,no,no,no,no,,,name:String,,06_commands_show(1).md:1169,entries/show-other.md
3.166.16,show crypto map,show,/rci/show/crypto/map,no,no,no,no,,,map-name:String,,06_commands_show(1).md:1207,entries/show-other.md
3.166.17,show defaults,show,/rci/show/defaults,no,no,no,no,,,,,06_commands_show(1).md:1298,entries/show-other.md
3.166.18,show dlna,show,/rci/show/dlna,no,no,no,no,,,,,06_commands_show(1).md:1334,entries/show-other.md
3.166.19,show dns-proxy,show,/rci/show/dns-proxy,no,no,no,no,,,,,06_commands_show(1).md:1357,entries/show-other.md
3.166.20,show dns-proxy filter presets,show,/rci/show/dns-proxy/filter/presets,no,no,no,no,,,lang:String;description:Keyword;id:Keyword;stale:Keyword,,06_commands_show(1).md:1460,entries/show-other.md
3.166.21,show dns-proxy filter profiles,show,/rci/show/dns-proxy/filter/profiles,no,no,no,no,,,,,06_commands_show(1).md:1548,entries/show-other.md
3.166.24,show dot1x,show,/rci/show/dot1x,no,no,no,no,,Ethernet,interface:Interface,,06_commands_show(1).md:1748,entries/show-other.md
3.166.22,show dpn document,show,/rci/show/dpn/document,no,no,no,no,,,version:String;language:String,,06_commands_show(1).md:1574,entries/show-other.md
3.166.23,show dpn list,show,/rci/show/dpn/list,no,no,no,no,,,,,06_commands_show(1).md:1648,entries/show-other.md
3.166.25,show drivers,show,/rci/show/drivers,no,no,no,no,,,,,06_commands_show(1).md:1800,entries/show-other.md
3.166.26,show dyndns updaters,show,/rci/show/dyndns/updaters,no,no,no,no,,,,,06_commands_show(1).md:1850,entries/show-other.md
3.166.27,show easyconfig status,show,/rci/show/easyconfig/status,no,no,no,no,,,,,06_commands_show(1).md:1882,entries/show-other.md
3.166.28,show eula document,show,/rci/show/eula/document,no,no,no,no,,,version:String;language:String,,06_commands_show(1).md:1927,entries/show-other.md
3.166.29,show eula list,show,/rci/show/eula/list,no,no,no,no,,,,,06_commands_show(1).md:1994,entries/show-other.md
3.166.30,show interface,show,/rci/show/interface,no,no,no,no,,IP,name:Interface,name,06_commands_show(1).md:2045,entries/show-interface.md
3.166.31,show interface antennas,show,/rci/show/interface/antennas,no,no,no,no,,Usb,name:Interface;channel:Keyword;ecio:Keyword;phase:Keyword;rsrp:Keyword;rsrq:Keyword;rssi:Keyword,name,06_commands_show(1).md:2148,entries/show-interface.md
3.166.32,show interface bands,show,/rci/show/interface/bands,no,no,no,no,,Usb,name:Interface,name,06_commands_show(1).md:2204,entries/show-interface.md
3.166.33,show interface bridge,show,/rci/show/interface/bridge,no,no,no,no,,Bridge,interface:Interface;name:Interface;inherited:Keyword;link:Keyword;members:Keyword,name,06_commands_show(1).md:2260,entries/show-interface.md
3.166.34,show interface cells,show,/rci/show/interface/cells,no,no,no,no,,Usb,name:Interface;phy-id:Keyword;rssi:Keyword,name,06_commands_show(1).md:2304,entries/show-interface.md
3.166.35,show interface channel-utilization rrd,show,/rci/show/interface/channel-utilization/rrd,no,no,no,no,,,name:Interface;attribute:Keyword;detail:Keyword,name;attribute,06_commands_show(1).md:2352,entries/show-interface.md
3.166.36,show interface channels,show,/rci/show/interface/channels,no,no,no,no,,Radio,name:Interface;channels:Keyword;ext-40-above:Keyword;ext-40-below:Keyword;number:Keyword;vhc-80:Keyword,name,06_commands_show(1).md:2454,entries/show-interface.md
3.166.37,show interface chilli,show,/rci/show/interface/chilli,no,no,no,no,,,name:Interface,name,06_commands_show(1).md:2547,entries/show-interface.md
3.166.38,show interface country-codes,show,/rci/show/interface/country-codes,no,no,no,no,,Radio,name:Interface;country:Keyword;country-codes:Keyword;code:Keyword,name,06_commands_show(1).md:2592,entries/show-interface.md
3.166.39,show interface mac,show,/rci/show/interface/mac,no,no,no,no,,Switch,name:Interface,name,06_commands_show(1).md:2654,entries/show-interface.md
3.166.40,show interface name-server,show,/rci/show/interface/name-server,no,no,no,no,,,name:Interface,name,06_commands_show(1).md:2724,entries/show-interface.md
3.166.41,show interface operators,show,/rci/show/interface/operators,no,no,no,no,,Usb,name:Interface,name,06_commands_show(1).md:2791,entries/show-interface.md
3.166.42,show interface rf e2p,show,/rci/show/interface/rf/e2p,no,no,no,no,,Radio,name:Interface,name,06_commands_show(1).md:2904,entries/show-interface.md
3.166.43,show interface rrd,show,/rci/show/interface/rrd,no,no,no,no,,,name:Interface;attribute:Keyword;detail:Keyword,name;attribute,06_commands_show(1).md:2954,entries/show-interface.md
3.166.44,show interface spectrum rrd,show,/rci/show/interface/spectrum/rrd,no,no,no,no,,,name:Interface;channel:Integer;attribute:Keyword;detail:Keyword,name;channel;attribute,06_commands_show(1).md:3058,entries/show-interface.md
3.166.45,show interface stat,show,/rci/show/interface/stat,no,no,no,no,,,name:Interface,name,06_commands_show(1).md:3163,entries/show-interface.md
3.166.46,show interface traffic-counter,show,/rci/show/interface/traffic-counter,no,no,no,no,,Usb,name:Interface,name,06_commands_show(1).md:3199,entries/show-interface.md
3.166.47,show interface wps pin,show,/rci/show/interface/wps/pin,no,no,no,no,,WiFi,name:Interface;pin:Keyword,name,06_commands_show(1).md:3244,entries/show-interface.md
3.166.48,show interface wps status,show,/rci/show/interface/wps/status,no,no,no,no,,WiFi,name:Interface;wps:Keyword;status:Keyword;auto-self-pin:Keyword;configured:Keyword;direction:Keyword;left:Time;mode:Keyword,name,06_commands_show(1).md:3280,entries/show-interface.md
3.166.49,show interface zerotier peers,show,/rci/show/interface/zerotier/peers,no,no,no,no,,,name:Interface,name,06_commands_show(1).md:3338,entries/show-interface.md
3.166.50,show internet status,show,/rci/show/internet/status,no,no,no,no,,,,,06_commands_show(1).md:3411,entries/show-other.md
3.166.51,show ip arp,show,/rci/show/ip/arp,no,no,no,no,,,,,06_commands_show(1).md:3463,entries/show-ip.md
3.166.52,show ip conntrack lockout,show,/rci/show/ip/conntrack/lockout,no,no,no,no,,,,,06_commands_show(1).md:3499,entries/show-ip.md
3.166.53,show ip dhcp bindings,show,/rci/show/ip/dhcp/bindings,no,no,no,no,,,pool:String,,06_commands_show(1).md:3529,entries/show-ip.md
3.166.54,show ip dhcp pool,show,/rci/show/ip/dhcp/pool,no,no,no,no,,,pool:String,,06_commands_show(1).md:3573,entries/show-ip.md
3.166.55,show ip ftp,show,/rci/show/ip/ftp,no,no,no,no,,,,,06_commands_show(1).md:3612,entries/show-ip.md
3.166.56,show ip hotspot,show,/rci/show/ip/hotspot,no,no,no,no,,,,,06_commands_show(1).md:3643,entries/show-ip.md
3.166.57,show ip hotspot rrd,show,/rci/show/ip/hotspot/rrd,no,no,no,no,,,mac:MAC address;attribute:Keyword;detail:Keyword,mac;attribute,06_commands_show(1).md:3727,entries/show-ip.md
3.166.58,show ip hotspot summary,show,/rci/show/ip/hotspot/summary,no,no,no,no,,,attribute:Keyword;detail:Keyword;count:Integer,attribute,06_commands_show(1).md:3855,entries/show-ip.md
3.166.59,show ip http proxy,show,/rci/show/ip/http/proxy,no,no,no,no,,,,,06_commands_show(1).md:3955,entries/show-ip.md
3.166.60,show ip http webdav,show,/rci/show/ip/http/webdav,no,no,no,no,,,,,06_commands_show(1).md:3983,entries/show-ip.md
3.166.61,show ip name-server,show,/rci/show/ip/name-server,no,no,no,no,,,,,06_commands_show(1).md:4021,entries/show-ip.md
3.166.62,show ip nat,show,/rci/show/ip/nat,no,no,no,no,,,tcp:Keyword,,06_commands_show(1).md:4095,entries/show-ip.md
3.166.63,show ip neighbour,show,/rci/show/ip/neighbour,no,no,no,no,,,alive:Keyword,,06_commands_show(1).md:4144,entries/show-ip.md
3.166.64,show ip policy,show,/rci/show/ip/policy,no,no,no,no,,,policy:Policy,,06_commands_show(1).md:4205,entries/show-ip.md
3.166.65,show ip route,show,/rci/show/ip/route,no,no,no,no,,,table:Integer;criteria:Keyword;direction:Keyword,,06_commands_show(1).md:4349,entries/show-ip.md
3.166.66,show ip service,show,/rci/show/ip/service,no,no,no,no,,,,,06_commands_show(1).md:4509,entries/show-ip.md
3.166.67,show ipsec,show,/rci/show/ipsec,no,no,no,no,,,,,06_commands_show(1).md:4559,entries/show-other.md
3.166.68,show ipv6 addresses,show,/rci/show/ipv6/addresses,no,no,no,no,,,,,06_commands_show(1).md:4617,entries/show-other.md
3.166.69,show ipv6 dhcp bindings,show,/rci/show/ipv6/dhcp/bindings,no,no,no,no,,,,,06_commands_show(1).md:4656,entries/show-other.md
3.166.70,show ipv6 prefixes,show,/rci/show/ipv6/prefixes,no,no,no,no,,,,,06_commands_show(1).md:4696,entries/show-other.md
3.166.71,show ipv6 route,show,/rci/show/ipv6/route,no,no,no,no,,,table:Integer;criteria:Keyword;direction:Keyword,,06_commands_show(1).md:4733,entries/show-other.md
3.166.72,show ipv6 subnets,show,/rci/show/ipv6/subnets,no,no,no,no,,,,,06_commands_show(1).md:4805,entries/show-other.md
3.166.73,show kabinet status,show,/rci/show/kabinet/status,no,no,no,no,,,,,06_commands_show(1).md:4837,entries/show-other.md
3.166.74,show last-change,show,/rci/show/last-change,no,no,no,no,,,,,06_commands_show(1).md:4866,entries/show-other.md
3.166.75,show led,show,/rci/show/led,no,no,no,no,,,name:Keyword,,06_commands_show(1).md:4891,entries/show-other.md
3.166.76,show led bindings,show,/rci/show/led/bindings,no,no,no,no,,,name:Keyword,,06_commands_show(1).md:4948,entries/show-other.md
3.166.77,show led controls,show,/rci/show/led/controls,no,no,no,no,,,,,06_commands_show(1).md:5110,entries/show-other.md
3.166.78,show log,show,/rci/show/log,no,no,no,no,,,max-lines:Integer;once:Keyword,,06_commands_show(1).md:5271,entries/show-other.md
3.166.79,show media,show,/rci/show/media,no,no,no,no,,,,,06_commands_show(1).md:5324,entries/show-other.md
3.166.80,show mws associations,show,/rci/show/mws/associations,no,no,no,no,,,,,06_commands_show(1).md:5379,entries/show-other.md
3.166.81,show mws candidate,show,/rci/show/mws/candidate,no,no,no,no,,,candidate:String,,06_commands_show(1).md:5422,entries/show-other.md
3.166.82,show mws log,show,/rci/show/mws/log,no,no,no,no,,,max-lines:Integer;once:Keyword,,06_commands_show(1).md:5508,entries/show-other.md
3.166.83,show mws member,show,/rci/show/mws/member,no,no,no,no,,,member:String,,06_commands_show(1).md:5558,entries/show-other.md
3.166.84,show ndns,show,/rci/show/ndns,no,no,no,no,,,,,06_commands_show(1).md:5681,entries/show-other.md
3.166.85,show netfilter,show,/rci/show/netfilter,no,no,no,no,,,,,06_commands_show(1).md:5734,entries/show-other.md
3.166.86,show nextdns availability,show,/rci/show/nextdns/availability,no,no,no,no,,,,,06_commands_show(1).md:5754,entries/show-other.md
3.166.87,show nextdns profiles,show,/rci/show/nextdns/profiles,no,no,no,no,,,,,06_commands_show(1).md:5781,entries/show-other.md
3.166.88,show ntce applications,show,/rci/show/ntce/applications,no,no,no,no,,,,,06_commands_show(1).md:5814,entries/show-ntce.md
3.166.89,show ntce attributes,show,/rci/show/ntce/attributes,no,no,no,no,,,,,06_commands_show(1).md:5938,entries/show-ntce.md
3.166.90,show ntce filter profile,show,/rci/show/ntce/filter/profile,no,no,no,no,,,name:String,,06_commands_show(1).md:6125,entries/show-ntce.md
3.166.91,show ntce groups,show,/rci/show/ntce/groups,no,no,no,no,,,,,06_commands_show(1).md:6174,entries/show-ntce.md
3.166.92,show ntce groupsets,show,/rci/show/ntce/groupsets,no,no,no,no,,,,,06_commands_show(1).md:6493,entries/show-ntce.md
3.166.93,show ntce hosts,show,/rci/show/ntce/hosts,no,no,no,no,,,,,06_commands_show(1).md:6551,entries/show-ntce.md
3.166.94,show ntce oses,show,/rci/show/ntce/oses,no,no,no,no,,,,,06_commands_show(1).md:6814,entries/show-ntce.md
3.166.95,show ntce status,show,/rci/show/ntce/status,no,no,no,no,,,,,06_commands_show(1).md:6887,entries/show-ntce.md
3.166.96,show ntp status,show,/rci/show/ntp/status,no,no,no,no,,,,,06_commands_show(1).md:6945,entries/show-other.md
3.166.97,show object-group fqdn,show,/rci/show/object-group/fqdn,no,no,no,no,,,group:String,,06_commands_show(1).md:6985,entries/show-other.md
3.166.98,show oc-server,show,/rci/show/oc-server,no,no,no,no,,,,,06_commands_show(1).md:7073,entries/show-other.md
3.166.99,show ping-check,show,/rci/show/ping-check,no,no,no,no,,,profile_name:Keyword,,06_commands_show(1).md:7120,entries/show-other.md
3.166.100,show printers,show,/rci/show/printers,no,no,no,no,,,,,06_commands_show(1).md:7169,entries/show-other.md
3.166.101,show processes,show,/rci/show/processes,no,no,no,no,,,,,06_commands_show(1).md:7193,entries/show-other.md
3.166.102,show running-config,show,/rci/show/running-config,no,no,no,no,,,,,06_commands_show(1).md:7289,entries/show-other.md
3.166.103,show schedule,show,/rci/show/schedule,no,no,no,no,,,name:String,,06_commands_show(1).md:7638,entries/show-other.md
3.166.104,show self-test,show,/rci/show/self-test,no,no,no,no,,,,,06_commands_show(1).md:7676,entries/show-other.md
3.166.105,show site-survey,show,/rci/show/site-survey,no,no,no,no,,Radio,name:Interface,name,06_commands_show(1).md:7696,entries/show-other.md
3.166.106,show snmp view,show,/rci/show/snmp/view,no,no,no,no,,,,,06_commands_show(1).md:7753,entries/show-other.md
3.166.107,show ssh fingerprint,show,/rci/show/ssh/fingerprint,no,no,no,no,,,,,06_commands_show(1).md:7781,entries/show-other.md
3.166.108,show ssh sftp,show,/rci/show/ssh/sftp,no,no,no,no,,,,,06_commands_show(1).md:7817,entries/show-other.md
3.166.109,show sstp-server,show,/rci/show/sstp-server,no,no,no,no,,,,,06_commands_show(1).md:7848,entries/show-other.md
3.166.110,show system,show,/rci/show/system,no,no,no,no,,,,,06_commands_show(1).md:7894,entries/show-other.md
3.166.111,show system country,show,/rci/show/system/country,no,no,no,no,,,,,06_commands_show(1).md:7931,entries/show-other.md
3.166.112,show system cpustat,show,/rci/show/system/cpustat,no,no,no,no,,,,,06_commands_show(1).md:7992,entries/show-other.md
3.166.113,show system zram,show,/rci/show/system/zram,no,no,no,no,,,,,06_commands_show(1).md:8058,entries/show-other.md
3.166.114,show tags,show,/rci/show/tags,no,no,no,no,,,,,06_commands_show(1).md:8089,entries/show-other.md
3.166.115,show threads,show,/rci/show/threads,no,no,no,no,,,,,06_commands_show(1).md:8124,entries/show-other.md
3.166.116,show torrent status,show,/rci/show/torrent/status,no,no,no,no,,,,,06_commands_show(1).md:8177,entries/show-other.md
3.166.117,show upnp redirect,show,/rci/show/upnp/redirect,no,no,no,no,,IP,protocol:Keyword;interface:Interface;port:Integer;index:Integer,,06_commands_show(1).md:8201,entries/show-other.md
3.166.118,show usb,show,/rci/show/usb,no,no,no,no,,,,,06_commands_show(1).md:8249,entries/show-other.md
3.166.119,show version,show,/rci/show/version,no,no,no,no,,,,,06_commands_show(1).md:8287,entries/show-other.md
3.166.120,show vpn-server,show,/rci/show/vpn-server,no,no,no,no,,,,,06_commands_show(1).md:8345,entries/show-other.md
3.167,sms,sms,/rci/sms,no,no,no,no,(sms),Usb,name:Interface,name,07_commands_sms_system_tools_users_vpn(1).md:5,entries/sms.md
3.167.1,sms delete,sms,/rci/sms/delete,no,no,no,no,,,id:String,id,07_commands_sms_system_tools_users_vpn(1).md:36,entries/sms.md
3.167.2,sms list,sms,/rci/sms/list,no,no,no,no,,,unread:Keyword;id:Keyword;no-content:Keyword,,07_commands_sms_system_tools_users_vpn(1).md:63,entries/sms.md
3.167.3,sms read,sms,/rci/sms/read,no,yes,no,no,,,id:String,id,07_commands_sms_system_tools_users_vpn(1).md:210,entries/sms.md
3.167.4,sms send,sms,/rci/sms/send,no,no,no,no,,,to:String;message:String,to;message,07_commands_sms_system_tools_users_vpn(1).md:244,entries/sms.md
3.168,snmp community,snmp,/rci/snmp/community,yes,yes,no,no,,,community:String,community,07_commands_sms_system_tools_users_vpn(1).md:276,
3.169,snmp contact,snmp,/rci/snmp/contact,yes,yes,no,no,,,contact:String,contact,07_commands_sms_system_tools_users_vpn(1).md:314,
3.170,snmp location,snmp,/rci/snmp/location,yes,yes,no,no,,,location:String,location,07_commands_sms_system_tools_users_vpn(1).md:351,
3.171,snmp view,snmp,/rci/snmp/view,yes,yes,no,yes,,,name:String,name,07_commands_sms_system_tools_users_vpn(1).md:388,
3.172,snmp view exclude,snmp,/rci/snmp/view/exclude,yes,yes,no,no,,,oid:String,oid,07_commands_sms_system_tools_users_vpn(1).md:428,
3.173,snmp view include,snmp,/rci/snmp/view/include,yes,yes,no,no,,,oid:String,oid,07_commands_sms_system_tools_users_vpn(1).md:466,
3.174,sstp-server,sstp-server,/rci/sstp-server,no,no,no,no,(sstp-server),,,,07_commands_sms_system_tools_users_vpn(1).md:504,entries/sstp-server.md
3.174.1,sstp-server allow-bridging,sstp-server,/rci/sstp-server/allow-bridging,yes,yes,no,no,,,,,07_commands_sms_system_tools_users_vpn(1).md:523,
3.174.2,sstp-server camouflage,sstp-server,/rci/sstp-server/camouflage,yes,yes,no,no,,,,,07_commands_sms_system_tools_users_vpn(1).md:560,
3.174.3,sstp-server debug,sstp-server,/rci/sstp-server/debug,yes,yes,no,no,,,,,07_commands_sms_system_tools_users_vpn(1).md:595,
3.174.4,sstp-server dhcp route,sstp-server,/rci/sstp-server/dhcp/route,yes,yes,yes,yes,,,address:IP address;mask:IP-mask,address;mask,07_commands_sms_system_tools_users_vpn(1).md:630,entries/sstp-server.md
3.174.5,sstp-server interface,sstp-server,/rci/sstp-server/interface,yes,yes,no,no,,,interface:Interface,interface,07_commands_sms_system_tools_users_vpn(1).md:678,
3.174.6,sstp-server ipv6cp,sstp-server,/rci/sstp-server/ipv6cp,yes,yes,no,no,,,,,07_commands_sms_system_tools_users_vpn(1).md:734,
3.174.7,sstp-server lcp echo,sstp-server,/rci/sstp-server/lcp/echo,yes,yes,no,no,,,interval:Integer;count:Integer;adaptive:Keyword,interval;count,07_commands_sms_system_tools_users_vpn(1).md:768,
3.174.8,sstp-server lcp force-pap,sstp-server,/rci/sstp-server/lcp/force-pap,yes,yes,no,no,,,,,07_commands_sms_system_tools_users_vpn(1).md:816,
3.174.9,sstp-server mru,sstp-server,/rci/sstp-server/mru,yes,yes,no,no,,,value:Integer,value,07_commands_sms_system_tools_users_vpn(1).md:850,
3.174.10,sstp-server mtu,sstp-server,/rci/sstp-server/mtu,yes,yes,no,no,,,value:Integer,value,07_commands_sms_system_tools_users_vpn(1).md:886,
3.174.11,sstp-server multi-login,sstp-server,/rci/sstp-server/multi-login,yes,yes,no,no,,,,,07_commands_sms_system_tools_users_vpn(1).md:922,
3.174.12,sstp-server pool-range,sstp-server,/rci/sstp-server/pool-range,yes,yes,no,no,,,begin:IP address;size:Integer,begin,07_commands_sms_system_tools_users_vpn(1).md:953,
3.174.13,sstp-server session-logout,sstp-server,/rci/sstp-server/session-logout,yes,no,no,no,,,session:Integer,session,07_commands_sms_system_tools_users_vpn(1).md:992,
3.174.14,sstp-server session-preempt,sstp-server,/rci/sstp-server/session-preempt,yes,yes,no,no,,,,,07_commands_sms_system_tools_users_vpn(1).md:1021,
3.174.15,sstp-server static-ip,sstp-server,/rci/sstp-server/static-ip,yes,yes,no,yes,,,name:String;address:IP address,name;address,07_commands_sms_system_tools_users_vpn(1).md:1056,
3.175,system,system,/rci/system,no,no,no,no,(system),,,,07_commands_sms_system_tools_users_vpn(1).md:1093,entries/system.md
3.175.1,system button,system,/rci/system/button,yes,yes,no,no,,,button:Keyword;action:Keyword;handler:Keyword,button;action;handler,07_commands_sms_system_tools_users_vpn(1).md:1112,entries/system.md
3.175.2,system caption,system,/rci/system/caption,yes,no,no,no,,,template:Keyword,template,07_commands_sms_system_tools_users_vpn(1).md:1188,entries/system.md
3.175.3,system clock date,system,/rci/system/clock/date,yes,no,no,no,,,date-and-time:Keyword,,07_commands_sms_system_tools_users_vpn(1).md:1227,entries/system.md
3.175.4,system clock timezone,system,/rci/system/clock/timezone,yes,yes,no,no,,,locality:String,locality,07_commands_sms_system_tools_users_vpn(1).md:1255,entries/system.md
3.175.5,system configuration factory-reset,system,/rci/system/configuration/factory-reset,yes,no,no,no,,,,,07_commands_sms_system_tools_users_vpn(1).md:1291,entries/system.md
3.175.6,system configuration fail-safe commit,system,/rci/system/configuration/fail-safe/commit,no,no,no,no,,,,,07_commands_sms_system_tools_users_vpn(1).md:1315,entries/system.md
3.175.7,system configuration fail-safe keep-alive,system,/rci/system/configuration/fail-safe/keep-alive,no,no,no,no,,,,,07_commands_sms_system_tools_users_vpn(1).md:1339,entries/system.md
3.175.8,system configuration fail-safe rollback,system,/rci/system/configuration/fail-safe/rollback,no,no,no,no,,,,,07_commands_sms_system_tools_users_vpn(1).md:1364,entries/system.md
3.175.9,system configuration fail-safe timer,system,/rci/system/configuration/fail-safe/timer,yes,yes,no,no,,,action:Keyword;interval:Integer,action;interval,07_commands_sms_system_tools_users_vpn(1).md:1394,entries/system.md
3.175.10,system configuration save,system,/rci/system/configuration/save,yes,no,no,no,,,,,07_commands_sms_system_tools_users_vpn(1).md:1438,entries/system.md
3.175.11,system country,system,/rci/system/country,yes,yes,no,no,,,country:Keyword,,07_commands_sms_system_tools_users_vpn(1).md:1461,entries/system.md
3.175.12,system debug,system,/rci/system/debug,yes,yes,no,no,,,,,07_commands_sms_system_tools_users_vpn(1).md:1500,entries/system.md
3.175.13,system description,system,/rci/system/description,yes,yes,no,no,,,description:String,description,07_commands_sms_system_tools_users_vpn(1).md:1530,entries/system.md
3.175.14,system domainname,system,/rci/system/domainname,yes,yes,no,no,,,domain:String,domain,07_commands_sms_system_tools_users_vpn(1).md:1575,entries/system.md
3.175.15,system eject,system,/rci/system/eject,no,no,no,no,,,name:String,name,07_commands_sms_system_tools_users_vpn(1).md:1611,entries/system.md
3.175.16,system hostname,system,/rci/system/hostname,yes,yes,no,no,,,hostname:String,hostname,07_commands_sms_system_tools_users_vpn(1).md:1641,entries/system.md
3.175.17,system led,system,/rci/system/led,yes,yes,no,yes,,,led:Keyword;indicate:Keyword;control:Keyword,led;control,07_commands_sms_system_tools_users_vpn(1).md:1681,entries/system.md
3.175.18,system led power schedule,system,/rci/system/led/power/schedule,yes,yes,no,no,,,schedule:Schedule,schedule,07_commands_sms_system_tools_users_vpn(1).md:1745,entries/system.md
3.175.19,system led power shutdown,system,/rci/system/led/power/shutdown,yes,yes,no,no,,,mode:Keyword,mode,07_commands_sms_system_tools_users_vpn(1).md:1786,entries/system.md
3.175.20,system log clear,system,/rci/system/log/clear,no,no,no,no,,,,,07_commands_sms_system_tools_users_vpn(1).md:1828,entries/system.md
3.175.21,system log reduction,system,/rci/system/log/reduction,yes,yes,no,no,,,,,07_commands_sms_system_tools_users_vpn(1).md:1850,entries/system.md
3.175.22,system log server,system,/rci/system/log/server,yes,yes,no,yes,,,address:IP address;port:Integer,address,07_commands_sms_system_tools_users_vpn(1).md:1882,entries/system.md
3.175.23,system log suppress,system,/rci/system/log/suppress,yes,yes,no,yes,,,ident:String,ident,07_commands_sms_system_tools_users_vpn(1).md:1914,entries/system.md
